word,count,tf
postnl,1191,0.012861354383767265
million,602,0.006500869302290422
board,566,0.006112112998498969
financial,551,0.005950131205252529
management,478,0.005161819811453193
value,450,0.004859453797393173
statements,362,0.003909160610347397
income,358,0.00386596546548168
supervisory,312,0.003369221299525933
cash,307,0.0033152273684437868
mail,298,0.0032180382924959236
company,294,0.0031748431476302063
business,255,0.0027536904851894646
assets,245,0.002645702623025172
total,239,0.0025809099057265963
shares,239,0.0025809099057265963
performance,235,0.0025377147608608795
chapter,225,0.0024297268986965864
driving,220,0.00237573296761444
transition,218,0.0023541353951815817
tax,204,0.002202952388151572
information,203,0.0021921536019351424
delivery,199,0.0021489584570694256
related,194,0.002094964525987279
year,193,0.00208416573977085
net,187,0.002019373022472274
audit,185,0.0019977754500394157
report,185,0.0019977754500394157
december,182,0.001965379091390128
operating,182,0.001965379091390128
also,171,0.0018465924430094058
nonfinancial,166,0.0017925985119272593
customers,165,0.0017817997257108301
parcels,163,0.0017602021532779715
corporate,156,0.0016846106497629665
services,154,0.001663013077330108
netherlands,154,0.001663013077330108
group,152,0.0016414155048972495
reporting,149,0.0016090191462479618
operations,149,0.0016090191462479618
emissions,146,0.001576622787598674
share,142,0.0015334276427329569
customer,141,0.0015226288565165275
based,141,0.0015226288565165275
impact,140,0.0015118300703000982
market,139,0.001501031284083669
new,139,0.001501031284083669
risk,138,0.0014902324978672398
liabilities,138,0.0014902324978672398
committee,137,0.0014794337116508104
number,135,0.001457836139217952
within,130,0.0014038422081358054
may,128,0.001382244635702947
interest,126,0.0013606470632700884
costs,125,0.0013498482770536592
dutch,125,0.0013498482770536592
shareholders,124,0.00133904949083723
annual,123,0.0013282507046208007
employees,122,0.0013174519184043713
dividend,122,0.0013174519184043713
remuneration,122,0.0013174519184043713
key,122,0.0013174519184043713
members,118,0.0012742567735386542
postal,116,0.0012526592011057958
fair,115,0.0012418604148893664
pension,115,0.0012418604148893664
capital,114,0.0012310616286729372
investments,114,0.0012310616286729372
change,113,0.001220262842456508
included,106,0.001144671338941503
scope,106,0.001144671338941503
per,106,0.001144671338941503
time,106,0.001144671338941503
activities,105,0.0011338725527250738
revenue,104,0.0011230737665086444
changes,104,0.0011230737665086444
consolidated,103,0.0011122749802922151
rate,102,0.001101476194075786
growth,101,0.0010906774078593567
data,100,0.0010798786216429273
years,99,0.001069079835426498
equity,98,0.0010582810492100689
use,98,0.0010582810492100689
plan,98,0.0010582810492100689
including,97,0.0010474822629936394
used,97,0.0010474822629936394
us,96,0.0010366834767772102
amount,96,0.0010366834767772102
internal,96,0.0010366834767772102
note,95,0.001025884690560781
following,95,0.001025884690560781
statement,95,0.001025884690560781
accounting,95,0.001025884690560781
service,93,0.0010042871181279223
section,93,0.0010042871181279223
one,91,0.000982689545695064
external,91,0.000982689545695064
held,91,0.000982689545695064
millions,90,0.0009718907594786346
current,89,0.0009610919732622053
policy,88,0.0009502931870457761
paid,88,0.0009502931870457761
benefit,87,0.0009394944008293467
sorting,87,0.0009394944008293467
basis,87,0.0009394944008293467
people,87,0.0009394944008293467
results,86,0.0009286956146129175
environmental,86,0.0009286956146129175
relevant,85,0.0009178968283964882
material,85,0.0009178968283964882
recognised,84,0.000907098042180059
member,84,0.000907098042180059
general,83,0.0008962992559636297
longterm,83,0.0008962992559636297
parcel,82,0.0008855004697472005
risks,81,0.0008747016835307711
cost,81,0.0008747016835307711
underlying,79,0.0008531041110979126
discontinued,79,0.0008531041110979126
control,78,0.0008423053248814833
working,78,0.0008423053248814833
balance,78,0.0008423053248814833
deferred,77,0.000831506538665054
social,77,0.000831506538665054
meeting,77,0.000831506538665054
reported,77,0.000831506538665054
made,76,0.0008207077524486247
companies,76,0.0008207077524486247
sale,76,0.0008207077524486247
profit,75,0.0008099089662321955
main,75,0.0008099089662321955
employee,75,0.0008099089662321955
future,74,0.0007991101800157662
quality,74,0.0007991101800157662
development,74,0.0007991101800157662
example,73,0.000788311393799337
work,73,0.000788311393799337
topics,73,0.000788311393799337
period,72,0.0007775126075829077
outstanding,72,0.0007775126075829077
co,72,0.0007775126075829077
increase,72,0.0007775126075829077
expenses,72,0.0007775126075829077
strategy,71,0.0007667138213664784
governance,71,0.0007667138213664784
indicators,70,0.0007559150351500491
impairment,69,0.0007451162489336199
policies,69,0.0007451162489336199
provide,69,0.0007451162489336199
ordinary,69,0.0007451162489336199
sustainable,68,0.0007343174627171906
significant,68,0.0007343174627171906
part,68,0.0007343174627171906
rights,68,0.0007343174627171906
level,67,0.0007235186765007614
