word,count,tf
pggm,521,0.014288456791816362
onze,340,0.009324520747058663
we,311,0.0085291939774566
nv,201,0.005512437265172915
wij,156,0.00427830951923868
klanten,142,0.0038943586649480295
raad,130,0.0035652579326989004
s,109,0.0029893316512629243
risico,97,0.0026602309190137947
jaar,96,0.002632805857993034
financile,91,0.00249568055288923
rvc,83,0.002276280064723144
leden,83,0.002276280064723144
activa,78,0.00213915475961934
pensioen,77,0.0021117296985985793
per,76,0.0020843046375778186
bv,75,0.002056879576557058
vermogensbeheer,71,0.0019471793324740147
medewerkers,64,0.0017552039053286893
binnen,64,0.0017552039053286893
totaal,64,0.0017552039053286893
jaarrekening,62,0.001700353783287168
miljoen,61,0.001672928722266407
commissarissen,58,0.0015906535392041247
organisatie,56,0.0015358034171626032
december,55,0.0015083783561418425
bestuur,53,0.0014535282341003209
lid,51,0.0013986781120587993
resultaat,51,0.0013986781120587993
overige,50,0.0013712530510380386
nieuwe,50,0.0013712530510380386
opgenomen,49,0.0013438279900172777
maken,49,0.0013438279900172777
vaste,48,0.001316402928996517
basis,47,0.0012889778679757563
dienstverlening,46,0.0012615528069549954
belang,46,0.0012615528069549954
vermogen,46,0.0012615528069549954
ten,46,0.0012615528069549954
pensioenbeheer,45,0.0012341277459342347
risk,43,0.0011792776238927132
toekomst,43,0.0011792776238927132
voorzitter,43,0.0011792776238927132
waarde,43,0.0011792776238927132
rvb,41,0.0011244275018511916
kosten,41,0.0011244275018511916
daarnaast,40,0.0010970024408304309
samen,40,0.0010970024408304309
beloning,39,0.00106957737980967
beleggingen,39,0.00106957737980967
externe,39,0.00106957737980967
eigen,39,0.00106957737980967
deelnemers,38,0.0010421523187889093
interne,38,0.0010421523187889093
gebied,38,0.0010421523187889093
waarbij,37,0.0010147272577681486
aantal,37,0.0010147272577681486
waarin,36,0.0009873021967473877
betrekking,36,0.0009873021967473877
verder,35,0.000959877135726627
impact,35,0.000959877135726627
co,35,0.000959877135726627
compliance,34,0.0009324520747058662
deelnemingen,34,0.0009324520747058662
verantwoord,34,0.0009324520747058662
actief,34,0.0009324520747058662
afschrijvingen,33,0.0009050270136851054
wet,33,0.0009050270136851054
nederlandse,33,0.0009050270136851054
doel,33,0.0009050270136851054
beleggen,32,0.0008776019526643446
stichting,32,0.0008776019526643446
coperatie,32,0.0008776019526643446
uitvoering,32,0.0008776019526643446
goed,31,0.000850176891643584
gaan,31,0.000850176891643584
tussen,30,0.0008227518306228232
verbonden,30,0.0008227518306228232
programma,30,0.0008227518306228232
strategie,30,0.0008227518306228232
regelgeving,29,0.0007953267696020624
willen,29,0.0007953267696020624
services,29,0.0007953267696020624
betrokken,29,0.0007953267696020624
governance,29,0.0007953267696020624
werkzaamheden,29,0.0007953267696020624
alle,29,0.0007953267696020624
januari,28,0.0007679017085813016
audit,28,0.0007679017085813016
staat,27,0.0007404766475605408
belastingen,27,0.0007404766475605408
ondernemingen,27,0.0007404766475605408
financieel,27,0.0007404766475605408
mensen,27,0.0007404766475605408
bedrijfsvoering,27,0.0007404766475605408
blijven,26,0.0007130515865397801
aandacht,26,0.0007130515865397801
management,26,0.0007130515865397801
private,26,0.0007130515865397801
klant,26,0.0007130515865397801
realiseren,26,0.0007130515865397801
invloed,26,0.0007130515865397801
toezicht,26,0.0007130515865397801
gebruik,26,0.0007130515865397801
werken,26,0.0007130515865397801
geven,26,0.0007130515865397801
schulden,25,0.0006856265255190193
nederland,25,0.0006856265255190193
lasten,25,0.0006856265255190193
kpmg,25,0.0006856265255190193
euro,25,0.0006856265255190193
wijze,25,0.0006856265255190193
pensioenfonds,25,0.0006856265255190193
naast,25,0.0006856265255190193
zowel,25,0.0006856265255190193
vanuit,25,0.0006856265255190193
duurzame,24,0.0006582014644982585
sprake,24,0.0006582014644982585
middelen,24,0.0006582014644982585
beleid,24,0.0006582014644982585
vergaderingen,24,0.0006582014644982585
stand,24,0.0006582014644982585
zorg,24,0.0006582014644982585
balans,23,0.0006307764034774977
ec,23,0.0006307764034774977
eerste,23,0.0006307764034774977
mld,23,0.0006307764034774977
variabele,23,0.0006307764034774977
ter,23,0.0006307764034774977
staan,23,0.0006307764034774977
ontwikkeling,23,0.0006307764034774977
resultaten,23,0.0006307764034774977
activiteiten,23,0.0006307764034774977
controle,23,0.0006307764034774977
pfzw,23,0.0006307764034774977
ontwikkelingen,23,0.0006307764034774977
via,22,0.0006033513424567369
daadkrachtig,22,0.0006033513424567369
advies,22,0.0006033513424567369
n,22,0.0006033513424567369
daarbij,22,0.0006033513424567369
beloningsbeleid,22,0.0006033513424567369
miljard,22,0.0006033513424567369
verplichting,22,0.0006033513424567369
sociale,22,0.0006033513424567369
zoals,21,0.0005759262814359762
waardevolle,21,0.0005759262814359762
zeist,21,0.0005759262814359762
volo,21,0.0005759262814359762
pensioenfondsen,21,0.0005759262814359762
vennootschap,21,0.0005759262814359762
it,21,0.0005759262814359762
processen,20,0.0005485012204152154
deel,20,0.0005485012204152154
stakeholders,20,0.0005485012204152154
passiva,20,0.0005485012204152154
gewaardeerd,20,0.0005485012204152154
waardering,20,0.0005485012204152154
incidenten,20,0.0005485012204152154
partijen,20,0.0005485012204152154
oplossingen,20,0.0005485012204152154
informatie,20,0.0005485012204152154
hiervan,20,0.0005485012204152154
materile,20,0.0005485012204152154
corporate,20,0.0005485012204152154
afgelopen,20,0.0005485012204152154
bedragen,20,0.0005485012204152154
kennis,20,0.0005485012204152154
beheervergoedingen,20,0.0005485012204152154
goede,20,0.0005485012204152154
verbeteren,19,0.0005210761593944546
