word,count,tf,document_count,idf,tf-idf
unilever,1498,0.019680487676703974,8.0,0.6286086594223741,0.012371324975231439
mcip,172,0.0022597088654159442,1.0,2.70805020110221,0.0061194050474220945
gsip,65,0.0008539597456513743,1.0,2.70805020110221,0.002312565860944396
nonunderlying,83,0.001090440905985601,2.0,2.0149030205422647,0.0021971326751932313
uslp,57,0.0007488570077250513,1.0,2.70805020110221,0.0020279423703666245
plc,392,0.005150034158389826,11.0,0.31015492830383945,0.0015973084751577207
ule,42,0.0005517893741131956,1.0,2.70805020110221,0.001494273325533302
foods,71,0.0009327867990961164,4.0,1.3217558399823195,0.0012329163991637066
paul,34,0.0004466866361868728,1.0,2.70805020110221,0.0012096498349555306
cg,32,0.0004204109517052919,1.0,2.70805020110221,0.0011384939623110873
agms,43,0.0005649272163539862,2.0,2.0149030205422647,0.0011382735546181801
polman,31,0.0004072731094645015,1.0,2.70805020110221,0.0011029160259888658
refreshment,40,0.0005255136896316149,2.0,2.0149030205422647,0.001058859120575051
pitkethly,28,0.00036785958274213043,1.0,2.70805020110221,0.0009961822170222014
graeme,28,0.00036785958274213043,1.0,2.70805020110221,0.0009961822170222014
bcs,37,0.00048610016290924376,2.0,2.0149030205422647,0.0009794446865319221
bonus,140,0.001839297913710652,9.0,0.5108256237659907,0.0009395605040627291
tea,34,0.0004466866361868728,2.0,2.0149030205422647,0.0009000302524887937
cream,25,0.00032844605601975934,1.0,2.70805020110221,0.000889448408055537
ned,25,0.00032844605601975934,1.0,2.70805020110221,0.000889448408055537
eur,148,0.001944400651636975,10.0,0.4054651081081644,0.0007883866204215714
carver,22,0.0002890325292973882,1.0,2.70805020110221,0.0007827145990888725
wales,21,0.0002758946870565978,1.0,2.70805020110221,0.000747136662766651
limitada,21,0.0002758946870565978,1.0,2.70805020110221,0.000747136662766651
recognised,111,0.0014583004887277313,9.0,0.5108256237659907,0.0007449372567925925
gbp,106,0.0013926112775237795,9.0,0.5108256237659907,0.0007113815245046379
ice,26,0.00034158389826054967,2.0,2.0149030205422647,0.0006882584283737831
nlg,19,0.0002496190025750171,1.0,2.70805020110221,0.0006759807901222082
