word,count,tf,document_count,idf,tf-idf
ing,2959,0.023566610119545396,13.0,0.3794896217049037,0.008943283959133238
banking,611,0.004866238182846311,12.0,0.45953232937844013,0.002236193767473673
eur,754,0.006005144991597575,14.0,0.3053816495511819,0.001833861083328086
lending,245,0.0019512739031053129,10.0,0.6418538861723947,0.0012524327376949218
nn,108,0.0008601533940219339,5.0,1.33500106673234,0.0011483056985727245
wholesale,243,0.0019353451365493512,11.0,0.5465437063680699,0.0010577507040311009
esr,53,0.00042211231373298614,2.0,2.2512917986064953,0.0009502979899978836
recognised,224,0.001784021854267715,12.0,0.45953232937844013,0.0008198157183536871
mortgages,88,0.0007008657284623166,7.0,0.9985288301111273,0.00069983463590646
nontrading,56,0.00044600546356692874,4.0,1.55814461804655,0.0006949410126761666
challengers,38,0.00030264656456327303,2.0,2.2512917986064953,0.0006813457286777277
revaluations,44,0.0003504328642311583,3.0,1.8458266904983307,0.0006468383340256498
bankingretail,35,0.00027875341472933043,2.0,2.2512917986064953,0.0006275552764136966
books,67,0.0005336136796247182,6.0,1.1526795099383853,0.0006150855547262387
groep,167,0.0013300520074228052,12.0,0.45953232937844013,0.000611201897165472
pd,48,0.00038229039734308175,4.0,1.55814461804655,0.0005956637251509999
nonperforming,53,0.00042211231373298614,5.0,1.33500106673234,0.0005635203891143927
var,45,0.00035839724750913915,4.0,1.55814461804655,0.0005584347423290624
mbb,31,0.00024689588161740697,2.0,2.2512917986064953,0.0005558346733949885
cro,60,0.00047786299667885215,6.0,1.1526795099383853,0.0005508228848294676
outstandings,44,0.0003504328642311583,4.0,1.55814461804655,0.0005460250813884166
lgd,42,0.0003345040976751965,4.0,1.55814461804655,0.0005212057595071249
timmermans,29,0.00023096711506144515,2.0,2.2512917986064953,0.0005199743718856342
presettlement,29,0.00023096711506144515,2.0,2.2512917986064953,0.0005199743718856342
client,86,0.0006849369619063548,9.0,0.7472144018302211,0.0005117947622822659
crd,48,0.00038229039734308175,5.0,1.33500106673234,0.0005103580882545442
koos,28,0.00022300273178346437,2.0,2.2512917986064953,0.0005020442211309574
wwwingcomar,27,0.00021503834850548347,2.0,2.2512917986064953,0.0004841140703762803
branch,81,0.0006451150455164505,9.0,0.7472144018302211,0.00048203925284725043
ead,38,0.00030264656456327303,4.0,1.55814461804655,0.00047156711574454155
accounts,1086,0.008649320239887225,18.0,0.05406722127027579,0.0004676447112474575
forborne,37,0.0002946821812852921,4.0,1.55814461804655,0.00045915745480389563
organisation,86,0.0006849369619063548,10.0,0.6418538861723947,0.0004396294507827073
tier,99,0.0007884739445201059,11.0,0.5465437063680699,0.0004309354720126706
rijswijk,29,0.00023096711506144515,3.0,1.8458266904983307,0.00042632526560781446
fintechs,23,0.00018318081539356,2.0,2.2512917986064953,0.00041239346735757207
percent,94,0.0007486520281302018,11.0,0.5465437063680699,0.000409171054234253
mortgage,59,0.0004698986134008713,8.0,0.8649974374866045,0.0004064610964702623
rwa,32,0.00025486026489538783,4.0,1.55814461804655,0.00039710915010066663
hamers,22,0.00017521643211557914,2.0,2.2512917986064953,0.00039446331660289506
ralph,22,0.00017521643211557914,2.0,2.2512917986064953,0.00039446331660289506
basel,49,0.00039025478062106267,7.0,0.9985288301111273,0.0003896806495388243
voya,21,0.00016725204883759825,2.0,2.2512917986064953,0.00037653316584821794
parent,424,0.003376898509863889,17.0,0.1112256351102244,0.00037559768146238145
unrealised,46,0.00036636163078712,7.0,0.9985288301111273,0.0003658226505874677
tlac,29,0.00023096711506144515,4.0,1.55814461804655,0.000359880167278729
steven,29,0.00023096711506144515,4.0,1.55814461804655,0.000359880167278729
crrcrd,33,0.0002628246481733687,5.0,1.33500106673234,0.0003508711856749992
banks,253,0.00201498896932916,16.0,0.17185025692665923,0.00034627637208360044
wwwingcom,19,0.00015132328228163652,2.0,2.2512917986064953,0.00034067286433886386
ecb,36,0.00028671779800731135,6.0,1.1526795099383853,0.0003304937308976806
orange,31,0.00024689588161740697,5.0,1.33500106673234,0.00032960626533105983
fifm,18,0.00014335889900365565,2.0,2.2512917986064953,0.00032274271358418685
airb,26,0.00020707396522750258,4.0,1.55814461804655,0.00032265118445679155
contents,358,0.002851249213517151,17.0,0.1112256351102244,0.000317132004630973
appendix,46,0.00036636163078712,8.0,0.8649974374866045,0.00031690187182427236
haase,17,0.00013539451572567478,2.0,2.2512917986064953,0.0003048125628295098
retail,221,0.0017601287044337719,16.0,0.17185025692665923,0.00030247857008093153
brrd,24,0.00019114519867154088,4.0,1.55814461804655,0.00029783186257549993
buffer,24,0.00019114519867154088,4.0,1.55814461804655,0.00029783186257549993
programme,68,0.0005415780629026991,11.0,0.5465437063680699,0.0002959960817864809
defence,37,0.0002946821812852921,7.0,0.9985288301111273,0.00029424865373339787
advances,96,0.0007645807946861635,13.0,0.3794896217049037,0.00029015047653828684
turkey,27,0.00021503834850548347,5.0,1.33500106673234,0.0002870764246431811
margarete,16,0.00012743013244769392,2.0,2.2512917986064953,0.0002868824120748328
coalfired,16,0.00012743013244769392,2.0,2.2512917986064953,0.0002868824120748328
balkenende,16,0.00012743013244769392,2.0,2.2512917986064953,0.0002868824120748328
boyer,16,0.00012743013244769392,2.0,2.2512917986064953,0.0002868824120748328
fatca,23,0.00018318081539356,4.0,1.55814461804655,0.0002854222016348541
assetliability,22,0.00017521643211557914,4.0,1.55814461804655,0.0002730125406942083
nonfinancial,199,0.0015849122723181931,16.0,0.17185025692665923,0.00027236758120409676
nv,306,0.002437101283062146,17.0,0.1112256351102244,0.00027106813803653
